"DATETIME,TIME,LON,LAT,CH4_VMR_A_"
"""JAN-2019"",0,10,36,1.88034"
"""FEB-2019"",1,10,36,1.87196"
"""MAR-2019"",2,10,36,1.87044"
"""APR-2019"",3,10,36,1.87906"
"""MAY-2019"",4,10,36,1.88255"
"""JUN-2019"",5,10,36,1.88267"
"""JUL-2019"",6,10,36,1.89815"
"""AUG-2019"",7,10,36,1.89722"
"""SEP-2019"",8,10,36,1.90421"
"""OCT-2019"",9,10,36,1.90153"
"""NOV-2019"",10,10,36,1.88372"
"""DEC-2019"",11,10,36,1.87696"
"""JAN-2020"",12,10,36,1.88325"
"""FEB-2020"",13,10,36,1.88372"
"""MAR-2020"",14,10,36,1.8928"
"""APR-2020"",15,10,36,1.89198"
"""MAY-2020"",16,10,36,1.89699"
"""JUN-2020"",17,10,36,1.90013"
"""JUL-2020"",18,10,36,1.90595"
"""AUG-2020"",19,10,36,1.90409"
"""SEP-2020"",20,10,36,1.90036"
"""OCT-2020"",21,10,36,1.91061"
"""NOV-2020"",22,10,36,1.90944"
"""DEC-2020"",23,10,36,1.89489"
"""JAN-2021"",24,10,36,1.87918"
"""FEB-2021"",25,10,36,1.88651"
"""MAR-2021"",26,10,36,1.89675"
"""APR-2021"",27,10,36,1.89221"
"""MAY-2021"",28,10,36,1.90316"
"""JUN-2021"",29,10,36,1.89466"
"""JUL-2021"",30,10,36,1.91643"
"""AUG-2021"",31,10,36,1.91806"
"""SEP-2021"",32,10,36,1.90444"
"""OCT-2021"",33,10,36,1.91876"
"""NOV-2021"",34,10,36,1.90327"
"""DEC-2021"",35,10,36,1.89559"
"""JAN-2022"",36,10,36,1.90351"
"""FEB-2022"",37,10,36,1.89338"
"""MAR-2022"",38,10,36,1.90723"