"DATETIME,TIME,LON,LAT,TOTVAP"
"""SEP-2002"",0,9,36,25.709"
"""OCT-2002"",1,9,36,18.6797"
"""OCT-2002"",2,9,36,15.7554"
"""DEC-2002"",3,9,36,12.7051"
"""DEC-2002"",4,9,36,11.3779"
"""JAN-2003"",5,9,36,10.9302"
"""MAR-2003"",6,9,36,11.7764"
"""APR-2003"",7,9,36,16.5894"
"""MAY-2003"",8,9,36,18.9961"
"""JUN-2003"",9,9,36,22.1943"
"""JUL-2003"",10,9,36,25.0635"
"""AUG-2003"",11,9,36,25.6729"
"""SEP-2003"",12,9,36,29.1641"
"""OCT-2003"",13,9,36,24.2305"
"""NOV-2003"",14,9,36,14.9966"
"""DEC-2003"",15,9,36,11.0645"
"""DEC-2003"",16,9,36,10.2793"
"""JAN-2004"",17,9,36,9.86719"
"""MAR-2004"",18,9,36,13.1807"
"""APR-2004"",19,9,36,15.3574"
"""MAY-2004"",20,9,36,18.1045"
"""JUN-2004"",21,9,36,23.2744"
"""JUL-2004"",22,9,36,23.6543"
"""AUG-2004"",23,9,36,26.6533"
"""AUG-2004"",24,9,36,24.3379"
"""SEP-2004"",25,9,36,20.7412"
"""OCT-2004"",26,9,36,14.6895"
"""NOV-2004"",27,9,36,12.1948"
"""DEC-2004"",28,9,36,8.2312"
"""JAN-2005"",29,9,36,9.50928"
"""MAR-2005"",30,9,36,13.4189"
"""APR-2005"",31,9,36,16.2954"
"""MAY-2005"",32,9,36,17.291"
"""JUN-2005"",33,9,36,24.0752"
"""JUL-2005"",34,9,36,24.8896"
"""AUG-2005"",35,9,36,26.96"
"""AUG-2005"",36,9,36,24.8281"
"""OCT-2005"",37,9,36,22.04"
"""OCT-2005"",38,9,36,14.6577"
"""DEC-2005"",39,9,36,10.7554"
"""DEC-2005"",40,9,36,9.67578"
"""JAN-2006"",41,9,36,10.5391"
"""MAR-2006"",42,9,36,12.7368"
"""APR-2006"",43,9,36,15.7563"
"""MAY-2006"",44,9,36,21.4951"
"""JUN-2006"",45,9,36,18.9297"
"""JUL-2006"",46,9,36,25.1025"
"""AUG-2006"",47,9,36,25.6211"
"""AUG-2006"",48,9,36,23.4951"
"""OCT-2006"",49,9,36,19.3477"
"""OCT-2006"",50,9,36,15.2002"
"""DEC-2006"",51,9,36,12.2612"
"""DEC-2006"",52,9,36,10.8115"
"""JAN-2007"",53,9,36,11.7666"
"""MAR-2007"",54,9,36,12.2998"
"""APR-2007"",55,9,36,17.1567"
"""MAY-2007"",56,9,36,18.7471"
"""JUN-2007"",57,9,36,21.2607"
"""JUL-2007"",58,9,36,20.502"
"""AUG-2007"",59,9,36,25.9326"
"""SEP-2007"",60,9,36,27.0586"
"""OCT-2007"",61,9,36,21.7842"
"""NOV-2007"",62,9,36,13.3789"
"""DEC-2007"",63,9,36,11.7788"
"""DEC-2007"",64,9,36,10.6494"
"""JAN-2008"",65,9,36,11.1411"
"""MAR-2008"",66,9,36,11.9556"
"""APR-2008"",67,9,36,13.4688"
"""MAY-2008"",68,9,36,19.3584"
"""JUN-2008"",69,9,36,21.2344"
"""JUL-2008"",70,9,36,25.5693"
"""AUG-2008"",71,9,36,25.9678"
"""AUG-2008"",72,9,36,26.2988"
"""SEP-2008"",73,9,36,21.6533"
"""OCT-2008"",74,9,36,13.5566"
"""NOV-2008"",75,9,36,11.2358"
"""DEC-2008"",76,9,36,11.3452"
"""JAN-2009"",77,9,36,9.5791"
"""MAR-2009"",78,9,36,11.6587"
"""APR-2009"",79,9,36,15.1055"
"""MAY-2009"",80,9,36,17.623"
"""JUN-2009"",81,9,36,20.2773"
"""JUL-2009"",82,9,36,24.6123"
"""AUG-2009"",83,9,36,27.3506"
"""AUG-2009"",84,9,36,25.9512"
"""OCT-2009"",85,9,36,19.3057"
"""OCT-2009"",86,9,36,13.7012"
"""DEC-2009"",87,9,36,12.4351"
"""DEC-2009"",88,9,36,11.2925"
"""JAN-2010"",89,9,36,12.4692"
"""MAR-2010"",90,9,36,12.8838"
"""APR-2010"",91,9,36,17.2393"
"""MAY-2010"",92,9,36,18.4268"
"""JUN-2010"",93,9,36,22.918"
"""JUL-2010"",94,9,36,25.1963"
"""AUG-2010"",95,9,36,27.291"
"""AUG-2010"",96,9,36,24.8799"
"""OCT-2010"",97,9,36,19.1201"
"""OCT-2010"",98,9,36,15.2739"
"""DEC-2010"",99,9,36,12.665"
"""DEC-2010"",100,9,36,11.4927"
"""JAN-2011"",101,9,36,10.105"
"""MAR-2011"",102,9,36,13.4717"
"""APR-2011"",103,9,36,15.3667"
"""MAY-2011"",104,9,36,20.2021"
"""JUN-2011"",105,9,36,22.5996"
"""JUL-2011"",106,9,36,25.418"
"""AUG-2011"",107,9,36,23.6816"
"""SEP-2011"",108,9,36,25.6484"
"""OCT-2011"",109,9,36,20.4736"
"""NOV-2011"",110,9,36,16.5488"
"""DEC-2011"",111,9,36,11.5425"
"""DEC-2011"",112,9,36,10.0752"
"""JAN-2012"",113,9,36,9.23047"
"""MAR-2012"",114,9,36,11.8521"
"""APR-2012"",115,9,36,15.0371"
"""MAY-2012"",116,9,36,18.2168"
"""JUN-2012"",117,9,36,23.3369"
"""JUL-2012"",118,9,36,25.2607"
"""JUL-2012"",119,9,36,22.8271"
"""AUG-2012"",120,9,36,25.2334"
"""SEP-2012"",121,9,36,22.2402"
"""OCT-2012"",122,9,36,17.7412"
"""NOV-2012"",123,9,36,11.0449"
"""DEC-2012"",124,9,36,10.2256"
"""JAN-2013"",125,9,36,9.87793"
"""MAR-2013"",126,9,36,13.834"
"""APR-2013"",127,9,36,15.7998"
"""MAY-2013"",128,9,36,18.4131"
"""JUN-2013"",129,9,36,20.333"
"""JUL-2013"",130,9,36,26.127"
"""AUG-2013"",131,9,36,24.5322"
"""AUG-2013"",132,9,36,28.0605"
"""OCT-2013"",133,9,36,22.7871"
"""OCT-2013"",134,9,36,15.0073"
"""NOV-2013"",135,9,36,11.6162"
"""DEC-2013"",136,9,36,11.5195"
"""JAN-2014"",137,9,36,10.7935"
"""MAR-2014"",138,9,36,12.583"
"""APR-2014"",139,9,36,14.6104"
"""MAY-2014"",140,9,36,17.7617"
"""JUN-2014"",141,9,36,22.209"
"""JUL-2014"",142,9,36,23.7441"
"""AUG-2014"",143,9,36,26.167"
"""AUG-2014"",144,9,36,25.1201"
"""OCT-2014"",145,9,36,20.3955"
"""OCT-2014"",146,9,36,15.8652"
"""DEC-2014"",147,9,36,11.5347"
"""DEC-2014"",148,9,36,9.65039"
"""JAN-2015"",149,9,36,10.7246"
"""MAR-2015"",150,9,36,12.5933"
"""APR-2015"",151,9,36,13.4429"
"""MAY-2015"",152,9,36,17.0498"
"""JUN-2015"",153,9,36,20.4238"
"""JUL-2015"",154,9,36,23.0771"
"""AUG-2015"",155,9,36,28.0352"
"""SEP-2015"",156,9,36,25.918"
"""OCT-2015"",157,9,36,22.2188"
"""NOV-2015"",158,9,36,16.2134"
"""DEC-2015"",159,9,36,11.4917"
"""DEC-2015"",160,9,36,11.856"
"""JAN-2016"",161,9,36,12.1045"
"""MAR-2016"",162,9,36,11.1289"
"""APR-2016"",163,9,36,14.5107"
"""MAY-2016"",164,9,36,17.4053"
"""JUN-2016"",165,9,36,22.1885"
"""JUL-2016"",166,9,36,22.5918"
"""JUL-2016"",167,9,36,25.1406"
"""AUG-2016"",168,9,36,26.2617"
"""SEP-2016"",169,9,36,22.1582"
"""OCT-2016"",170,9,36,15.3057"
"""NOV-2016"",171,9,36,14.0024"
"""DEC-2016"",172,9,36,9.30811"
"""JAN-2017"",173,9,36,11.3789"
"""MAR-2017"",174,9,36,12.2212"
"""APR-2017"",175,9,36,14.4785"
"""MAY-2017"",176,9,36,18.5332"
"""JUN-2017"",177,9,36,21.7715"
"""JUL-2017"",178,9,36,23.25"
"""AUG-2017"",179,9,36,23.3594"
"""AUG-2017"",180,9,36,23.2119"
"""OCT-2017"",181,9,36,17.5322"
"""OCT-2017"",182,9,36,14.0508"
"""NOV-2017"",183,9,36,10.3569"
"""DEC-2017"",184,9,36,10.4263"
"""JAN-2018"",185,9,36,11.2832"
"""MAR-2018"",186,9,36,13.3286"
"""APR-2018"",187,9,36,15.7544"
"""MAY-2018"",188,9,36,20.2988"
"""JUN-2018"",189,9,36,22.2119"
"""JUL-2018"",190,9,36,23.7246"
"""AUG-2018"",191,9,36,29.6748"
"""AUG-2018"",192,9,36,28.1533"
"""OCT-2018"",193,9,36,20.2012"
"""OCT-2018"",194,9,36,14.9722"
"""DEC-2018"",195,9,36,11.7231"
"""DEC-2018"",196,9,36,9.44238"
"""JAN-2019"",197,9,36,8.91357"
"""MAR-2019"",198,9,36,11.2578"
"""APR-2019"",199,9,36,15.2993"
"""MAY-2019"",200,9,36,17.3193"
"""JUN-2019"",201,9,36,20.8086"
"""JUL-2019"",202,9,36,24.3486"
"""AUG-2019"",203,9,36,28.1865"
"""SEP-2019"",204,9,36,27.9424"
"""OCT-2019"",205,9,36,20.918"
"""OCT-2019"",206,9,36,14.2158"
"""DEC-2019"",207,9,36,12.3984"
"""DEC-2019"",208,9,36,10.6787"
"""JAN-2020"",209,9,36,10.4316"
"""MAR-2020"",210,9,36,13.2759"
"""APR-2020"",211,9,36,17.2764"
"""MAY-2020"",212,9,36,17.5713"
"""JUN-2020"",213,9,36,22.2412"
"""JUL-2020"",214,9,36,23.0664"
"""JUL-2020"",215,9,36,24.6787"
"""AUG-2020"",216,9,36,27.4189"
"""SEP-2020"",217,9,36,18.6357"
"""OCT-2020"",218,9,36,15.9565"
"""NOV-2020"",219,9,36,12.0898"
"""DEC-2020"",220,9,36,11.1484"
"""JAN-2021"",221,9,36,9.95898"
"""MAR-2021"",222,9,36,11.9165"
"""APR-2021"",223,9,36,15.6733"
"""MAY-2021"",224,9,36,19.623"
"""JUN-2021"",225,9,36,22.4463"
"""JUL-2021"",226,9,36,21.9717"
"""AUG-2021"",227,9,36,24.7178"
"""AUG-2021"",228,9,36,26.3066"
"""OCT-2021"",229,9,36,19.4883"
"""OCT-2021"",230,9,36,14.8901"
"""NOV-2021"",231,9,36,11.6611"
"""DEC-2021"",232,9,36,8.88965"
"""JAN-2022"",233,9,36,10.2427"
"""MAR-2022"",234,9,36,12.208"
"""APR-2022"",235,9,36,14.27"
"""MAY-2022"",236,9,36,15.5684"
"""JUN-2022"",237,9,36,18.4062"